,school_server_code,tool_name,createdat_start,createdat_end,time_spent,session_id,user_id,domain,state_code,date_created,num_students_day,total_students,total_days,daily_attendence,individ_attendence,num_of_consistent_stud
61,3051001-rj1,food_sharing_tool,,2018-10-19 22:30:55,14,wg1d6gvf4fsrnb0b8xpmv19f15qa58m4,211125,m,rj,2018-10-19,8,13,8,0.6153846153846154,0.25,0
62,3051001-rj1,food_sharing_tool,,2018-10-19 22:31:44,14,wg1d6gvf4fsrnb0b8xpmv19f15qa58m4,211125,m,rj,2018-10-19,8,13,8,0.6153846153846154,0.25,0
63,3051001-rj1,food_sharing_tool,,2018-10-19 22:31:59,14,wg1d6gvf4fsrnb0b8xpmv19f15qa58m4,211125,m,rj,2018-10-19,8,13,8,0.6153846153846154,0.25,0
64,3051001-rj1,food_sharing_tool,,2018-10-19 22:33:12,15,4u3xduoi5b7thrlyod5n67bv0jyc311m,211125,m,rj,2018-10-19,8,13,8,0.6153846153846154,0.25,0
65,3051001-rj1,food_sharing_tool,,2018-10-19 22:33:22,14,wg1d6gvf4fsrnb0b8xpmv19f15qa58m4,211125,m,rj,2018-10-19,8,13,8,0.6153846153846154,0.25,0
66,3051001-rj1,food_sharing_tool,,2018-10-19 22:34:03,14,wg1d6gvf4fsrnb0b8xpmv19f15qa58m4,211125,m,rj,2018-10-19,8,13,8,0.6153846153846154,0.25,0
67,3051001-rj1,food_sharing_tool,,2018-10-19 22:35:04,14,wg1d6gvf4fsrnb0b8xpmv19f15qa58m4,211125,m,rj,2018-10-19,8,13,8,0.6153846153846154,0.25,0
68,3051001-rj1,food_sharing_tool,,2018-10-19 22:36:09,14,wg1d6gvf4fsrnb0b8xpmv19f15qa58m4,211125,m,rj,2018-10-19,8,13,8,0.6153846153846154,0.25,0
69,3051001-rj1,food_sharing_tool,,2018-10-19 22:36:52,15,4u3xduoi5b7thrlyod5n67bv0jyc311m,211125,m,rj,2018-10-19,8,13,8,0.6153846153846154,0.25,0
70,3051001-rj1,food_sharing_tool,,2018-07-22 23:29:03,2,t2skoxet4jli61nwza8jiu5x8cjm43by,211149,m,rj,2018-07-22,2,13,8,0.15384615384615385,0.125,0
71,3051001-rj1,food_sharing_tool,,2018-07-22 23:30:40,2,t2skoxet4jli61nwza8jiu5x8cjm43by,211149,m,rj,2018-07-22,2,13,8,0.15384615384615385,0.125,0
72,3051001-rj1,food_sharing_tool,,2018-07-22 23:31:03,2,t2skoxet4jli61nwza8jiu5x8cjm43by,211149,m,rj,2018-07-22,2,13,8,0.15384615384615385,0.125,0
73,3051001-rj1,food_sharing_tool,,2018-07-22 23:29:03,2,t2skoxet4jli61nwza8jiu5x8cjm43by,211150,m,rj,2018-07-22,2,13,8,0.15384615384615385,0.125,0
74,3051001-rj1,food_sharing_tool,,2018-07-22 23:30:40,2,t2skoxet4jli61nwza8jiu5x8cjm43by,211150,m,rj,2018-07-22,2,13,8,0.15384615384615385,0.125,0
75,3051001-rj1,food_sharing_tool,,2018-07-22 23:31:03,2,t2skoxet4jli61nwza8jiu5x8cjm43by,211150,m,rj,2018-07-22,2,13,8,0.15384615384615385,0.125,0
76,3051001-rj1,food_sharing_tool,,2018-10-19 22:21:48,14,wg1d6gvf4fsrnb0b8xpmv19f15qa58m4,211121,m,rj,2018-10-19,8,13,8,0.6153846153846154,0.125,0
77,3051001-rj1,food_sharing_tool,,2018-10-19 22:28:48,14,wg1d6gvf4fsrnb0b8xpmv19f15qa58m4,211121,m,rj,2018-10-19,8,13,8,0.6153846153846154,0.125,0
78,3051001-rj1,food_sharing_tool,,2018-10-19 22:30:55,14,wg1d6gvf4fsrnb0b8xpmv19f15qa58m4,211121,m,rj,2018-10-19,8,13,8,0.6153846153846154,0.125,0
79,3051001-rj1,food_sharing_tool,,2018-10-19 22:31:44,14,wg1d6gvf4fsrnb0b8xpmv19f15qa58m4,211121,m,rj,2018-10-19,8,13,8,0.6153846153846154,0.125,0
80,3051001-rj1,food_sharing_tool,,2018-10-19 22:31:59,14,wg1d6gvf4fsrnb0b8xpmv19f15qa58m4,211121,m,rj,2018-10-19,8,13,8,0.6153846153846154,0.125,0
81,3051001-rj1,food_sharing_tool,,2018-10-19 22:33:22,14,wg1d6gvf4fsrnb0b8xpmv19f15qa58m4,211121,m,rj,2018-10-19,8,13,8,0.6153846153846154,0.125,0
82,3051001-rj1,food_sharing_tool,,2018-10-19 22:34:03,14,wg1d6gvf4fsrnb0b8xpmv19f15qa58m4,211121,m,rj,2018-10-19,8,13,8,0.6153846153846154,0.125,0
83,3051001-rj1,food_sharing_tool,,2018-10-19 22:35:04,14,wg1d6gvf4fsrnb0b8xpmv19f15qa58m4,211121,m,rj,2018-10-19,8,13,8,0.6153846153846154,0.125,0
