,school_server_code,level_1,domain,duration_weeks,teacher_uids,event
275,3072040-rj90,0,Math,1,"48204014,48204024,48204034,37204020,37204034",1
276,3072040-rj90,1,Science,2,"48204014,48204024,48204034,37204020,37204034",1
277,3072041-rj91,0,English,3,,1
278,3072041-rj91,1,Math,5,,1
279,3072041-rj91,2,Science,4,,1
280,3072042-rj92,0,English,6,,1
281,3072042-rj92,1,Math,5,,1
282,3072042-rj92,2,Science,7,,1
283,3072043-rj93,0,English,2,,1
284,3072043-rj93,1,Math,4,,1
285,3072043-rj93,2,Science,5,,1
286,3072044-rj94,0,English,4,,1
287,3072044-rj94,1,Math,5,,1
288,3072044-rj94,2,Science,5,,1
289,3072046-rj96,0,English,4,"37204630,37204620",1
290,3072046-rj96,1,Math,4,"37204630,37204620",1
291,3072046-rj96,2,Science,5,"37204630,37204620",1
292,3072047-rj97,0,English,4,"37204731,37204720",1
293,3072047-rj97,1,Math,1,"37204731,37204720",1
294,3072047-rj97,2,Science,2,"37204731,37204720",1
295,3072048-rj98,0,English,2,37204814,1
296,3072048-rj98,1,Math,2,37204814,1
297,3072048-rj98,2,Science,3,37204814,1
298,3072049-rj99,0,English,5,,1
299,3072049-rj99,1,Math,2,,1
300,3072049-rj99,2,Science,5,,1
301,3072050-rj100,0,English,3,37205024,1
302,3072050-rj100,1,Math,4,37205024,1
303,3072050-rj100,2,Science,7,37205024,1
304,4112043-tg243,0,English,3,,1
305,4112043-tg243,1,Math,2,,1
306,4112043-tg243,2,Science,2,,1
307,4112062-tg262,0,English,1,"410206211,48206224,48206234",1
308,4112062-tg262,1,Math,1,"410206211,48206224,48206234",1
309,4112062-tg262,2,Science,1,"410206211,48206224,48206234",1
310,4112085-tg285,0,English,4,,1
311,4112085-tg285,1,Math,4,,1
312,4112085-tg285,2,Science,3,,1
313,4141008-tg108,0,English,9,"11100824,11100820,11100811,11100830,23100810,23100811,23100831,23100820,23100830,35100810,35100820",1
314,4141008-tg108,1,Math,6,"11100824,11100820,11100811,11100830,23100810,23100811,23100831,23100820,23100830,35100810,35100820",1
315,4141008-tg108,2,Science,6,"11100824,11100820,11100811,11100830,23100810,23100811,23100831,23100820,23100830,35100810,35100820",1
316,4141009-tg109,0,English,2,"11100930,11100921,11100910,23100921,23100910,23100931,35100934,35100914,35100920",1
317,4141009-tg109,1,Math,4,"11100930,11100921,11100910,23100921,23100910,23100931,35100934,35100914,35100920",1
318,4141009-tg109,2,Science,3,"11100930,11100921,11100910,23100921,23100910,23100931,35100934,35100914,35100920",1
319,4141012-tg112,0,English,1,"11101220,11101230,23101220,23101210,23101231,23101211,23101221",1
320,4141012-tg112,1,Math,1,"11101220,11101230,23101220,23101210,23101231,23101211,23101221",1
321,4141012-tg112,2,Science,1,"11101220,11101230,23101220,23101210,23101231,23101211,23101221",1
322,4141035-tg135,0,English,1,"410103521,410103530,35103511,35103524",1
323,4141035-tg135,1,Math,1,"410103521,410103530,35103511,35103524",1
324,4141035-tg135,2,Science,1,"410103521,410103530,35103511,35103524",1
325,4141038-tg138,0,English,2,,1
326,4141038-tg138,1,Math,1,,1
327,4141038-tg138,2,Science,1,,1
328,4141045-tg145,0,English,1,,1
329,4141045-tg145,1,Math,4,,1
330,4141045-tg145,2,Science,5,,1
331,4141090-tg190,0,English,1,"410109015,410109025,410109034",1
332,4141090-tg190,1,Math,1,"410109015,410109025,410109034",1
333,4141090-tg190,2,Science,1,"410109015,410109025,410109034",1
334,4152002-tg202,0,English,5,,1
335,4152002-tg202,1,Math,5,,1
336,4152002-tg202,2,Science,6,,1
337,4152012-tg212,0,English,4,"48201215,48201224,37201214,37201230",1
338,4152012-tg212,1,Math,4,"48201215,48201224,37201214,37201230",1
339,4152012-tg212,2,Science,4,"48201215,48201224,37201214,37201230",1
340,4152013-tg213,0,English,6,,1
341,4152013-tg213,1,Math,6,,1
342,4152013-tg213,2,Science,7,,1
343,4152015-tg215,0,English,1,,1
344,4152015-tg215,1,Math,1,,1
345,4152015-tg215,2,Science,1,,1
346,4152017-tg217,0,English,2,,1
347,4152017-tg217,1,Math,2,,1
348,4152017-tg217,2,Science,3,,1
349,4152023-tg223,0,English,2,"37202320,37202330,37202311",1
350,4152023-tg223,1,Math,1,"37202320,37202330,37202311",1
351,4152023-tg223,2,Science,2,"37202320,37202330,37202311",1
