,school_server_code,level_1,tool_name,duration_weeks,event
362,4173074-tg74,0,ages_puzzle,2,1
363,4173074-tg74,1,astroamer_element_hunt_activity,3,1
364,4173074-tg74,2,astroamer_moon_track,1,1
365,4173074-tg74,3,astroamer_planet_trek_activity,1,1
366,4173074-tg74,4,coins_puzzle,1,1
367,4173074-tg74,5,factorisation,3,1
368,4173074-tg74,6,food_sharing_tool,2,1
369,4173074-tg74,7,ice,3,1
370,4173074-tg74,8,policesquad,2,1
371,4173074-tg74,9,rationpatterns,2,1
372,4173075-tg75,0,ages_puzzle,3,1
373,4173075-tg75,1,astroamer_element_hunt_activity,3,1
374,4173075-tg75,2,coins_puzzle,1,1
375,4173075-tg75,3,factorisation,4,1
376,4173075-tg75,4,food_sharing_tool,1,1
377,4183023-tg23,0,ages_puzzle,2,1
378,4183023-tg23,1,astroamer_element_hunt_activity,5,1
379,4183023-tg23,2,astroamer_moon_track,2,1
380,4183023-tg23,3,astroamer_planet_trek_activity,2,1
381,4183023-tg23,4,coins_puzzle,1,1
382,4183023-tg23,5,factorisation,2,1
383,4183023-tg23,6,food_sharing_tool,5,1
384,4183023-tg23,7,ice,2,1
385,4183023-tg23,8,policesquad,5,1
386,4183023-tg23,9,rationpatterns,1,1
387,4192081-tg281,0,ages_puzzle,2,1
388,4192081-tg281,1,astroamer_element_hunt_activity,1,1
389,4192081-tg281,2,factorisation,2,1
390,4192081-tg281,3,food_sharing_tool,4,1
391,4192081-tg281,4,ice,1,1
392,4202003-tg203,0,ages_puzzle,1,1
393,4202003-tg203,1,factorisation,1,1
394,4202004-tg204,0,ages_puzzle,1,1
395,4202004-tg204,1,astroamer_element_hunt_activity,2,1
396,4202004-tg204,2,coins_puzzle,1,1
397,4202004-tg204,3,factorisation,2,1
398,4202004-tg204,4,food_sharing_tool,1,1
399,4202010-tg210,0,coins_puzzle,1,1
400,4202010-tg210,1,factorisation,2,1
401,4202034-tg234,0,ages_puzzle,9,1
402,4202034-tg234,1,astroamer_element_hunt_activity,3,1
403,4202034-tg234,2,astroamer_planet_trek_activity,2,1
404,4202034-tg234,3,coins_puzzle,4,1
405,4202034-tg234,4,factorisation,10,1
406,4202034-tg234,5,food_sharing_tool,13,1
407,4202034-tg234,6,ice,3,1
408,4202034-tg234,7,rationpatterns,7,1
409,4202059-tg259,0,astroamer_element_hunt_activity,2,1
410,4202059-tg259,1,food_sharing_tool,1,1
411,4202074-tg274,0,factorisation,1,1
412,4202083-tg283,0,ages_puzzle,1,1
413,4202083-tg283,1,astroamer_element_hunt_activity,2,1
414,4202083-tg283,2,coins_puzzle,1,1
415,4202083-tg283,3,factorisation,3,1
416,4202083-tg283,4,food_sharing_tool,1,1
417,4202083-tg283,5,ice,1,1
418,4202083-tg283,6,policesquad,1,1
419,4213025-tg25,0,astroamer_element_hunt_activity,1,1
420,4213025-tg25,1,factorisation,1,1
421,4213025-tg25,2,food_sharing_tool,1,1
422,4213025-tg25,3,policesquad,2,1
423,4221018-tg118,0,food_sharing_tool,2,1
424,4221026-tg126,0,astroamer_element_hunt_activity,1,1
425,4221026-tg126,1,factorisation,1,1
426,4221040-tg140,0,ages_puzzle,4,1
427,4221040-tg140,1,astroamer_element_hunt_activity,5,1
428,4221040-tg140,2,astroamer_moon_track,2,1
429,4221040-tg140,3,coins_puzzle,2,1
430,4221040-tg140,4,factorisation,2,1
431,4221040-tg140,5,food_sharing_tool,7,1
432,4221040-tg140,6,ice,1,1
433,4221040-tg140,7,policesquad,1,1
434,4221040-tg140,8,rationpatterns,5,1
435,4221067-tg167,0,astroamer_element_hunt_activity,3,1
