server_id,school_name,school_code,module_name,unit_name,username,user_id,grade,enrollment_status,buddy_userids,total_lessons,lessons_visited,percentage_lessons_visited,total_activities,activities_visited,percentage_activities_visited,timestamp,state_code,school_server_code,date_created,days_server_wo_activity,tools_only_activity,module_only_activity,tool_with_module_activity,total_days_server_on,month_slot
tg231,ZPHS Kannapur,4152031,[u'Geometric Reasoning Part I'],gr1-unit3-classifying-defining-shapes,blue-frog-tg231,1082647,Grade 9,Yes,[],8,6,75.0,43,40,93.02325581395347,2018-11-30 15:14:00,tg,4152031-tg231,2018-11-30,0,0,8,3,11,Nov-2018
tg231,ZPHS Kannapur,4152031,[u'Geometric Reasoning Part I'],gr1-unit3-classifying-defining-shapes,blue-frog-tg231,1082647,Grade 9,Yes,[],8,6,75.0,43,40,93.02325581395347,2018-11-30 15:14:00,tg,4152031-tg231,2018-11-30,0,0,8,3,11,Nov-2018
tg231,ZPHS Kannapur,4152031,[u'Geometric Reasoning Part I'],gr1-unit3-classifying-defining-shapes,blue-frog-tg231,1082647,Grade 9,Yes,[],8,6,75.0,43,40,93.02325581395347,2018-11-30 15:14:00,tg,4152031-tg231,2018-11-30,0,0,8,3,11,Nov-2018
tg231,ZPHS Kannapur,4152031,[u'Geometric Reasoning Part I'],gr1-unit3-classifying-defining-shapes,blue-frog-tg231,1082647,Grade 9,Yes,[],8,6,75.0,43,40,93.02325581395347,2018-11-30 15:14:00,tg,4152031-tg231,2018-11-30,0,0,8,3,11,Nov-2018
tg231,ZPHS Kannapur,4152031,[u'Geometric Reasoning Part I'],gr1-unit3-classifying-defining-shapes,blue-hen-tg231,1082652,Grade 8,Yes,[],8,2,25.0,43,3,6.9767441860465125,2018-11-26 15:14:00,tg,4152031-tg231,2018-11-26,0,0,8,3,11,Nov-2018
tg231,ZPHS Kannapur,4152031,[u'Geometric Reasoning Part I'],gr1-unit3-classifying-defining-shapes,blue-hen-tg231,1082652,Grade 8,Yes,[],8,2,25.0,43,3,6.9767441860465125,2018-11-26 15:14:00,tg,4152031-tg231,2018-11-26,0,0,8,3,11,Nov-2018
tg231,ZPHS Kannapur,4152031,[u'Geometric Reasoning Part I'],gr1-unit3-classifying-defining-shapes,blue-hen-tg231,1082652,Grade 8,Yes,[],8,2,25.0,43,3,6.9767441860465125,2018-11-26 15:14:00,tg,4152031-tg231,2018-11-26,0,0,8,3,11,Nov-2018
tg231,ZPHS Kannapur,4152031,[u'Geometric Reasoning Part I'],gr1-unit3-classifying-defining-shapes,blue-hen-tg231,1082652,Grade 8,Yes,[],8,2,25.0,43,3,6.9767441860465125,2018-11-26 15:14:00,tg,4152031-tg231,2018-11-26,0,0,8,3,11,Nov-2018
tg231,ZPHS Kannapur,4152031,[u'Geometric Reasoning Part I'],gr1-unit3-classifying-defining-shapes,blue-hen-tg231,1082652,Grade 8,Yes,[],8,7,87.5,43,42,97.67441860465117,2018-11-30 15:14:00,tg,4152031-tg231,2018-11-30,0,0,8,3,11,Nov-2018
tg231,ZPHS Kannapur,4152031,[u'Geometric Reasoning Part I'],gr1-unit3-classifying-defining-shapes,blue-hen-tg231,1082652,Grade 8,Yes,[],8,7,87.5,43,42,97.67441860465117,2018-11-30 15:14:00,tg,4152031-tg231,2018-11-30,0,0,8,3,11,Nov-2018
tg231,ZPHS Kannapur,4152031,[u'Geometric Reasoning Part I'],gr1-unit3-classifying-defining-shapes,blue-hen-tg231,1082652,Grade 8,Yes,[],8,7,87.5,43,42,97.67441860465117,2018-11-30 15:14:00,tg,4152031-tg231,2018-11-30,0,0,8,3,11,Nov-2018
tg231,ZPHS Kannapur,4152031,[u'Geometric Reasoning Part I'],gr1-unit3-classifying-defining-shapes,blue-hen-tg231,1082652,Grade 8,Yes,[],8,7,87.5,43,42,97.67441860465117,2018-11-30 15:14:00,tg,4152031-tg231,2018-11-30,0,0,8,3,11,Nov-2018
tg231,ZPHS Kannapur,4152031,[u'Geometric Reasoning Part I'],gr1-unit3-classifying-defining-shapes,blue-hippo-tg231,1082655,Grade 8,Yes,[1082657],8,8,100.0,43,43,100.0,2018-11-30 15:14:00,tg,4152031-tg231,2018-11-30,0,0,8,3,11,Nov-2018
tg231,ZPHS Kannapur,4152031,[u'Geometric Reasoning Part I'],gr1-unit3-classifying-defining-shapes,blue-hippo-tg231,1082655,Grade 8,Yes,[1082657],8,8,100.0,43,43,100.0,2018-11-30 15:14:00,tg,4152031-tg231,2018-11-30,0,0,8,3,11,Nov-2018
tg231,ZPHS Kannapur,4152031,[u'Geometric Reasoning Part I'],gr1-unit3-classifying-defining-shapes,blue-hippo-tg231,1082655,Grade 8,Yes,[1082657],8,8,100.0,43,43,100.0,2018-11-30 15:14:00,tg,4152031-tg231,2018-11-30,0,0,8,3,11,Nov-2018
tg231,ZPHS Kannapur,4152031,[u'Geometric Reasoning Part I'],gr1-unit3-classifying-defining-shapes,blue-hippo-tg231,1082655,Grade 8,Yes,[1082657],8,8,100.0,43,43,100.0,2018-11-30 15:14:00,tg,4152031-tg231,2018-11-30,0,0,8,3,11,Nov-2018
tg231,ZPHS Kannapur,4152031,[u'Geometric Reasoning Part I'],gr1-unit3-classifying-defining-shapes,blue-horse-tg231,1082657,Grade 8,Yes,[],8,6,75.0,43,40,93.02325581395347,2018-11-30 15:14:00,tg,4152031-tg231,2018-11-30,0,0,8,3,11,Nov-2018
tg231,ZPHS Kannapur,4152031,[u'Geometric Reasoning Part I'],gr1-unit3-classifying-defining-shapes,blue-horse-tg231,1082657,Grade 8,Yes,[],8,6,75.0,43,40,93.02325581395347,2018-11-30 15:14:00,tg,4152031-tg231,2018-11-30,0,0,8,3,11,Nov-2018
tg231,ZPHS Kannapur,4152031,[u'Geometric Reasoning Part I'],gr1-unit3-classifying-defining-shapes,blue-horse-tg231,1082657,Grade 8,Yes,[],8,6,75.0,43,40,93.02325581395347,2018-11-30 15:14:00,tg,4152031-tg231,2018-11-30,0,0,8,3,11,Nov-2018
tg231,ZPHS Kannapur,4152031,[u'Geometric Reasoning Part I'],gr1-unit3-classifying-defining-shapes,blue-horse-tg231,1082657,Grade 8,Yes,[],8,6,75.0,43,40,93.02325581395347,2018-11-30 15:14:00,tg,4152031-tg231,2018-11-30,0,0,8,3,11,Nov-2018
tg231,ZPHS Kannapur,4152031,[u'Geometric Reasoning Part I'],gr1-unit3-classifying-defining-shapes,blue-horse-tg231,1082657,Grade 8,Yes,[],8,7,87.5,43,41,95.34883720930232,2018-11-30 16:14:00,tg,4152031-tg231,2018-11-30,0,0,8,3,11,Nov-2018
tg231,ZPHS Kannapur,4152031,[u'Geometric Reasoning Part I'],gr1-unit3-classifying-defining-shapes,blue-horse-tg231,1082657,Grade 8,Yes,[],8,7,87.5,43,41,95.34883720930232,2018-11-30 16:14:00,tg,4152031-tg231,2018-11-30,0,0,8,3,11,Nov-2018
tg231,ZPHS Kannapur,4152031,[u'Geometric Reasoning Part I'],gr1-unit3-classifying-defining-shapes,blue-horse-tg231,1082657,Grade 8,Yes,[],8,7,87.5,43,41,95.34883720930232,2018-11-30 16:14:00,tg,4152031-tg231,2018-11-30,0,0,8,3,11,Nov-2018
tg231,ZPHS Kannapur,4152031,[u'Geometric Reasoning Part I'],gr1-unit3-classifying-defining-shapes,blue-horse-tg231,1082657,Grade 8,Yes,[],8,7,87.5,43,41,95.34883720930232,2018-11-30 16:14:00,tg,4152031-tg231,2018-11-30,0,0,8,3,11,Nov-2018
tg231,ZPHS Kannapur,4152031,[u'Proportional Reasoning'],pr-unit1-additive-to-multiplicative-thinking,black-flamingo-tg231,1082573,,Yes,[],6,0,0.0,23,3,13.043478260869565,2018-11-30 15:13:00,tg,4152031-tg231,2018-11-30,0,0,8,3,11,Nov-2018
tg231,ZPHS Kannapur,4152031,[u'Proportional Reasoning'],pr-unit1-additive-to-multiplicative-thinking,black-flamingo-tg231,1082573,,Yes,[],6,0,0.0,23,3,13.043478260869565,2018-11-30 15:13:00,tg,4152031-tg231,2018-11-30,0,0,8,3,11,Nov-2018
tg231,ZPHS Kannapur,4152031,[u'Proportional Reasoning'],pr-unit1-additive-to-multiplicative-thinking,black-flamingo-tg231,1082573,,Yes,[],6,0,0.0,23,3,13.043478260869565,2018-11-30 15:13:00,tg,4152031-tg231,2018-11-30,0,0,8,3,11,Nov-2018
