,activities_visited,buddy_userids,enrollment_status,grade,lessons_visited,module_name,percentage_activities_visited,percentage_lessons_visited,school_code,school_name,server_id,state_code,timestamp,total_activities,total_lessons,unit_name,user_id,username
2630,8.0,[],Yes,Grade 8,2.0,[u'Understanding Motion'],11.594202898550725,16.666666666666664,4152031.0,ZPHS Kannapur,tg231,tg,2018-11-28 13:05:00,69.0,12.0,um-physics-motion,1082646.0,blue-fox-tg231
2631,8.0,[],Yes,Grade 8,2.0,[u'Understanding Motion'],11.594202898550725,16.666666666666664,4152031.0,ZPHS Kannapur,tg231,tg,2018-11-28 13:05:00,69.0,12.0,um-physics-motion,1082646.0,blue-fox-tg231
2632,1.0,[],Yes,Grade 8,0.0,[u'Understanding Motion'],1.4492753623188406,0.0,4152031.0,ZPHS Kannapur,tg231,tg,2018-11-15 10:05:00,69.0,12.0,um-physics-motion,1082647.0,blue-frog-tg231
2633,1.0,[],Yes,Grade 8,0.0,[u'Understanding Motion'],1.4492753623188406,0.0,4152031.0,ZPHS Kannapur,tg231,tg,2018-11-15 10:05:00,69.0,12.0,um-physics-motion,1082647.0,blue-frog-tg231
2634,20.0,[],Yes,Grade 8,3.0,[u'Understanding Motion'],28.98550724637681,25.0,4152031.0,ZPHS Kannapur,tg231,tg,2018-11-26 12:05:00,69.0,12.0,um-physics-motion,1082647.0,blue-frog-tg231
2635,20.0,[],Yes,Grade 8,3.0,[u'Understanding Motion'],28.98550724637681,25.0,4152031.0,ZPHS Kannapur,tg231,tg,2018-11-26 12:05:00,69.0,12.0,um-physics-motion,1082647.0,blue-frog-tg231
2636,67.0,[],Yes,Grade 8,10.0,[u'Understanding Motion'],97.10144927536231,83.33333333333334,4152031.0,ZPHS Kannapur,tg231,tg,2018-11-26 15:05:00,69.0,12.0,um-physics-motion,1082647.0,blue-frog-tg231
2637,67.0,[],Yes,Grade 8,10.0,[u'Understanding Motion'],97.10144927536231,83.33333333333334,4152031.0,ZPHS Kannapur,tg231,tg,2018-11-26 15:05:00,69.0,12.0,um-physics-motion,1082647.0,blue-frog-tg231
2638,4.0,[],Yes,,0.0,[u'Understanding Motion'],5.797101449275362,0.0,4152031.0,ZPHS Kannapur,tg231,tg,2018-10-24 15:05:00,69.0,12.0,um-physics-motion,1082649.0,blue-goat-tg231
2639,4.0,[],Yes,,0.0,[u'Understanding Motion'],5.797101449275362,0.0,4152031.0,ZPHS Kannapur,tg231,tg,2018-10-24 15:05:00,69.0,12.0,um-physics-motion,1082649.0,blue-goat-tg231
2640,7.0,[],Yes,Grade 8,2.0,[u'Understanding Motion'],10.144927536231883,16.666666666666664,4152031.0,ZPHS Kannapur,tg231,tg,2018-11-08 15:05:00,69.0,12.0,um-physics-motion,1082649.0,blue-goat-tg231
2641,7.0,[],Yes,Grade 8,2.0,[u'Understanding Motion'],10.144927536231883,16.666666666666664,4152031.0,ZPHS Kannapur,tg231,tg,2018-11-08 15:05:00,69.0,12.0,um-physics-motion,1082649.0,blue-goat-tg231
2642,9.0,[],Yes,Grade 8,2.0,[u'Understanding Motion'],13.043478260869565,16.666666666666664,4152031.0,ZPHS Kannapur,tg231,tg,2019-03-18 16:06:00,69.0,12.0,um-physics-motion,1082649.0,blue-goat-tg231
2643,1.0,[],Yes,,0.0,[u'Understanding Motion'],1.4492753623188406,0.0,4152031.0,ZPHS Kannapur,tg231,tg,2018-09-28 21:05:00,69.0,12.0,um-physics-motion,1082650.0,blue-gorilla-tg231
2644,1.0,[],Yes,,0.0,[u'Understanding Motion'],1.4492753623188406,0.0,4152031.0,ZPHS Kannapur,tg231,tg,2018-09-28 21:05:00,69.0,12.0,um-physics-motion,1082650.0,blue-gorilla-tg231
2645,4.0,[],Yes,,0.0,[u'Understanding Motion'],5.797101449275362,0.0,4152031.0,ZPHS Kannapur,tg231,tg,2018-10-24 15:05:00,69.0,12.0,um-physics-motion,1082650.0,blue-gorilla-tg231
2646,4.0,[],Yes,,0.0,[u'Understanding Motion'],5.797101449275362,0.0,4152031.0,ZPHS Kannapur,tg231,tg,2018-10-24 15:05:00,69.0,12.0,um-physics-motion,1082650.0,blue-gorilla-tg231
2647,10.0,[],Yes,Grade 8,1.0,[u'Understanding Motion'],14.492753623188404,8.333333333333332,4152031.0,ZPHS Kannapur,tg231,tg,2018-11-26 12:05:00,69.0,12.0,um-physics-motion,1082650.0,blue-gorilla-tg231
2648,10.0,[],Yes,Grade 8,1.0,[u'Understanding Motion'],14.492753623188404,8.333333333333332,4152031.0,ZPHS Kannapur,tg231,tg,2018-11-26 12:05:00,69.0,12.0,um-physics-motion,1082650.0,blue-gorilla-tg231
2649,69.0,[],Yes,Grade 8,12.0,[u'Understanding Motion'],100.0,100.0,4152031.0,ZPHS Kannapur,tg231,tg,2018-11-26 15:05:00,69.0,12.0,um-physics-motion,1082650.0,blue-gorilla-tg231
2650,69.0,[],Yes,Grade 8,12.0,[u'Understanding Motion'],100.0,100.0,4152031.0,ZPHS Kannapur,tg231,tg,2018-11-26 15:05:00,69.0,12.0,um-physics-motion,1082650.0,blue-gorilla-tg231
2651,2.0,[],Yes,,0.0,[u'Understanding Motion'],2.898550724637681,0.0,4152031.0,ZPHS Kannapur,tg231,tg,2018-10-24 15:05:00,69.0,12.0,um-physics-motion,1082652.0,blue-hen-tg231
2652,2.0,[],Yes,,0.0,[u'Understanding Motion'],2.898550724637681,0.0,4152031.0,ZPHS Kannapur,tg231,tg,2018-10-24 15:05:00,69.0,12.0,um-physics-motion,1082652.0,blue-hen-tg231
2653,5.0,[],Yes,Grade 8,1.0,[u'Understanding Motion'],7.246376811594202,8.333333333333332,4152031.0,ZPHS Kannapur,tg231,tg,2018-11-08 15:05:00,69.0,12.0,um-physics-motion,1082652.0,blue-hen-tg231
2654,5.0,[],Yes,Grade 8,1.0,[u'Understanding Motion'],7.246376811594202,8.333333333333332,4152031.0,ZPHS Kannapur,tg231,tg,2018-11-08 15:05:00,69.0,12.0,um-physics-motion,1082652.0,blue-hen-tg231
2655,21.0,[1082647],Yes,Grade 8,4.0,[u'Understanding Motion'],30.434782608695656,33.33333333333333,4152031.0,ZPHS Kannapur,tg231,tg,2018-11-26 12:05:00,69.0,12.0,um-physics-motion,1082652.0,blue-hen-tg231
2656,21.0,[1082647],Yes,Grade 8,4.0,[u'Understanding Motion'],30.434782608695656,33.33333333333333,4152031.0,ZPHS Kannapur,tg231,tg,2018-11-26 12:05:00,69.0,12.0,um-physics-motion,1082652.0,blue-hen-tg231
2657,69.0,[],Yes,Grade 8,12.0,[u'Understanding Motion'],100.0,100.0,4152031.0,ZPHS Kannapur,tg231,tg,2018-11-26 15:05:00,69.0,12.0,um-physics-motion,1082652.0,blue-hen-tg231
2658,69.0,[],Yes,Grade 8,12.0,[u'Understanding Motion'],100.0,100.0,4152031.0,ZPHS Kannapur,tg231,tg,2018-11-26 15:05:00,69.0,12.0,um-physics-motion,1082652.0,blue-hen-tg231
2659,1.0,[],Yes,,0.0,[u'Understanding Motion'],1.4492753623188406,0.0,4152031.0,ZPHS Kannapur,tg231,tg,2018-09-28 21:05:00,69.0,12.0,um-physics-motion,1082653.0,blue-heron-tg231
2660,1.0,[],Yes,,0.0,[u'Understanding Motion'],1.4492753623188406,0.0,4152031.0,ZPHS Kannapur,tg231,tg,2018-09-28 21:05:00,69.0,12.0,um-physics-motion,1082653.0,blue-heron-tg231
2661,6.0,[],Yes,,0.0,[u'Understanding Motion'],8.695652173913043,0.0,4152031.0,ZPHS Kannapur,tg231,tg,2018-10-24 15:05:00,69.0,12.0,um-physics-motion,1082653.0,blue-heron-tg231
2662,6.0,[],Yes,,0.0,[u'Understanding Motion'],8.695652173913043,0.0,4152031.0,ZPHS Kannapur,tg231,tg,2018-10-24 15:05:00,69.0,12.0,um-physics-motion,1082653.0,blue-heron-tg231
2663,7.0,[],Yes,Grade 8,0.0,[u'Understanding Motion'],10.144927536231883,0.0,4152031.0,ZPHS Kannapur,tg231,tg,2018-11-26 15:05:00,69.0,12.0,um-physics-motion,1082653.0,blue-heron-tg231
2664,7.0,[],Yes,Grade 8,0.0,[u'Understanding Motion'],10.144927536231883,0.0,4152031.0,ZPHS Kannapur,tg231,tg,2018-11-26 15:05:00,69.0,12.0,um-physics-motion,1082653.0,blue-heron-tg231
2665,15.0,[],Yes,Grade 8,2.0,[u'Understanding Motion'],21.73913043478261,16.666666666666664,4152031.0,ZPHS Kannapur,tg231,tg,2018-11-30 15:05:00,69.0,12.0,um-physics-motion,1082653.0,blue-heron-tg231
2666,15.0,[],Yes,Grade 8,2.0,[u'Understanding Motion'],21.73913043478261,16.666666666666664,4152031.0,ZPHS Kannapur,tg231,tg,2018-11-30 15:05:00,69.0,12.0,um-physics-motion,1082653.0,blue-heron-tg231
2667,22.0,[],Yes,Grade 8,2.0,[u'Understanding Motion'],31.88405797101449,16.666666666666664,4152031.0,ZPHS Kannapur,tg231,tg,2019-02-15 12:05:00,69.0,12.0,um-physics-motion,1082653.0,blue-heron-tg231
2668,1.0,[],Yes,,0.0,[u'Understanding Motion'],1.4492753623188406,0.0,4152031.0,ZPHS Kannapur,tg231,tg,2018-09-28 21:05:00,69.0,12.0,um-physics-motion,1082655.0,blue-hippo-tg231
2669,1.0,[],Yes,,0.0,[u'Understanding Motion'],1.4492753623188406,0.0,4152031.0,ZPHS Kannapur,tg231,tg,2018-09-28 21:05:00,69.0,12.0,um-physics-motion,1082655.0,blue-hippo-tg231
2670,2.0,[],Yes,Grade 8,0.0,[u'Understanding Motion'],2.898550724637681,0.0,4152031.0,ZPHS Kannapur,tg231,tg,2018-11-08 15:05:00,69.0,12.0,um-physics-motion,1082655.0,blue-hippo-tg231
2671,2.0,[],Yes,Grade 8,0.0,[u'Understanding Motion'],2.898550724637681,0.0,4152031.0,ZPHS Kannapur,tg231,tg,2018-11-08 15:05:00,69.0,12.0,um-physics-motion,1082655.0,blue-hippo-tg231
2672,17.0,[],Yes,Grade 8,3.0,[u'Understanding Motion'],24.63768115942029,25.0,4152031.0,ZPHS Kannapur,tg231,tg,2018-11-26 12:05:00,69.0,12.0,um-physics-motion,1082655.0,blue-hippo-tg231
2673,17.0,[],Yes,Grade 8,3.0,[u'Understanding Motion'],24.63768115942029,25.0,4152031.0,ZPHS Kannapur,tg231,tg,2018-11-26 12:05:00,69.0,12.0,um-physics-motion,1082655.0,blue-hippo-tg231
2674,69.0,[],Yes,Grade 8,12.0,[u'Understanding Motion'],100.0,100.0,4152031.0,ZPHS Kannapur,tg231,tg,2018-11-26 15:05:00,69.0,12.0,um-physics-motion,1082655.0,blue-hippo-tg231
2675,69.0,[],Yes,Grade 8,12.0,[u'Understanding Motion'],100.0,100.0,4152031.0,ZPHS Kannapur,tg231,tg,2018-11-26 15:05:00,69.0,12.0,um-physics-motion,1082655.0,blue-hippo-tg231
2676,0.0,[],No,Grade 8,0.0,[u'Understanding Motion'],0.0,0.0,4152031.0,ZPHS Kannapur,tg231,tg,2018-06-27 16:05:00,69.0,12.0,um-physics-motion,1259953.0,blue-copper-sp100
2677,0.0,[],No,Grade 8,0.0,[u'Understanding Motion'],0.0,0.0,4152031.0,ZPHS Kannapur,tg231,tg,2018-06-27 16:05:00,69.0,12.0,um-physics-motion,1259953.0,blue-copper-sp100
2678,0.0,[],No,Grade 9,0.0,[u'Understanding Motion'],0.0,0.0,4152031.0,ZPHS Kannapur,tg231,tg,2018-06-27 16:05:00,69.0,12.0,um-physics-motion,1260002.0,black-apple-sp100
2679,0.0,[],No,Grade 9,0.0,[u'Understanding Motion'],0.0,0.0,4152031.0,ZPHS Kannapur,tg231,tg,2018-06-27 16:05:00,69.0,12.0,um-physics-motion,1260002.0,black-apple-sp100
2680,2.0,[],No,,0.0,[u'Understanding Motion'],2.898550724637681,0.0,4152031.0,ZPHS Kannapur,tg231,tg,2018-06-27 16:05:00,69.0,12.0,um-physics-motion,1260189.0,brown-ostrich-sp100
2681,2.0,[],No,,0.0,[u'Understanding Motion'],2.898550724637681,0.0,4152031.0,ZPHS Kannapur,tg231,tg,2018-06-27 16:05:00,69.0,12.0,um-physics-motion,1260189.0,brown-ostrich-sp100
2682,2.0,[],No,Grade 8,0.0,[u'Understanding Motion'],2.898550724637681,0.0,4152031.0,ZPHS Kannapur,tg231,tg,2018-06-27 16:05:00,69.0,12.0,um-physics-motion,1260193.0,brown-peacock-sp100
2683,2.0,[],No,Grade 8,0.0,[u'Understanding Motion'],2.898550724637681,0.0,4152031.0,ZPHS Kannapur,tg231,tg,2018-06-27 16:05:00,69.0,12.0,um-physics-motion,1260193.0,brown-peacock-sp100
2686,1.0,[],No,Grade 8,0.0,[u'Proportional Reasoning'],4.761904761904762,0.0,4152031.0,ZPHS Kannapur,tg231,tg,2019-03-18 15:22:00,21.0,5.0,pr-unit3-ratios-proportions,1082646.0,blue-fox-tg231
2689,1.0,[],No,Grade 8,0.0,[u'Linear Equations'],14.285714285714285,0.0,4152031.0,ZPHS Kannapur,tg231,tg,2019-03-18 15:31:00,7.0,1.0,le-unit3-measuring-mustard-seed,1082649.0,blue-goat-tg231
2692,20.0,[],Yes,Grade 8,1.0,[u'Post-CLIx Survey'],100.0,100.0,4152031.0,ZPHS Kannapur,tg231,tg,2019-03-18 15:38:00,20.0,1.0,post-clix-survey,1082646.0,blue-fox-tg231
2693,18.0,[],Yes,Grade 8,0.0,[u'Post-CLIx Survey'],90.0,0.0,4152031.0,ZPHS Kannapur,tg231,tg,2019-03-18 15:38:00,20.0,1.0,post-clix-survey,1082649.0,blue-goat-tg231
2694,1.0,[],No,Grade 8,0.0,[u'Post-CLIx Survey'],5.0,0.0,4152031.0,ZPHS Kannapur,tg231,tg,2018-06-27 16:08:00,20.0,1.0,post-clix-survey,1259953.0,blue-copper-sp100
2695,1.0,[],No,Grade 8,0.0,[u'Post-CLIx Survey'],5.0,0.0,4152031.0,ZPHS Kannapur,tg231,tg,2018-06-27 16:08:00,20.0,1.0,post-clix-survey,1259953.0,blue-copper-sp100
2696,1.0,[],No,Grade 9,0.0,[u'Post-CLIx Survey'],5.0,0.0,4152031.0,ZPHS Kannapur,tg231,tg,2018-06-27 16:08:00,20.0,1.0,post-clix-survey,1260002.0,black-apple-sp100
2697,1.0,[],No,Grade 9,0.0,[u'Post-CLIx Survey'],5.0,0.0,4152031.0,ZPHS Kannapur,tg231,tg,2018-06-27 16:08:00,20.0,1.0,post-clix-survey,1260002.0,black-apple-sp100
2702,2.0,[],Yes,Choose Class / Grade,1.0,[u'Geometric Reasoning Part II'],11.764705882352938,20.0,4152031.0,ZPHS Kannapur,tg231,tg,2019-02-08 15:17:00,17.0,5.0,gr2-unit1-property-based-reasoning,1082523.0,orange-copper-tg231
2703,5.0,[],Yes,Choose Class / Grade,2.0,[u'Geometric Reasoning Part II'],29.411764705882355,40.0,4152031.0,ZPHS Kannapur,tg231,tg,2019-02-11 16:17:00,17.0,5.0,gr2-unit1-property-based-reasoning,1082523.0,orange-copper-tg231
2704,7.0,[],Yes,Choose Class / Grade,3.0,[u'Geometric Reasoning Part II'],41.17647058823529,60.0,4152031.0,ZPHS Kannapur,tg231,tg,2019-02-14 10:17:00,17.0,5.0,gr2-unit1-property-based-reasoning,1082523.0,orange-copper-tg231
2705,8.0,[],Yes,Choose Class / Grade,4.0,[u'Geometric Reasoning Part II'],47.058823529411754,80.0,4152031.0,ZPHS Kannapur,tg231,tg,2019-02-15 10:17:00,17.0,5.0,gr2-unit1-property-based-reasoning,1082523.0,orange-copper-tg231
2706,4.0,[],Yes,,1.0,[u'Geometric Reasoning Part II'],23.529411764705877,20.0,4152031.0,ZPHS Kannapur,tg231,tg,2018-08-08 22:07:00,17.0,5.0,gr2-unit1-property-based-reasoning,1082565.0,black-deer-tg231
2707,4.0,[],Yes,,1.0,[u'Geometric Reasoning Part II'],23.529411764705877,20.0,4152031.0,ZPHS Kannapur,tg231,tg,2018-08-08 22:07:00,17.0,5.0,gr2-unit1-property-based-reasoning,1082565.0,black-deer-tg231
2708,1.0,[],Yes,,1.0,[u'Geometric Reasoning Part II'],5.882352941176469,20.0,4152031.0,ZPHS Kannapur,tg231,tg,2018-08-08 22:07:00,17.0,5.0,gr2-unit1-property-based-reasoning,1082568.0,black-dragonfly-tg231
2709,1.0,[],Yes,,1.0,[u'Geometric Reasoning Part II'],5.882352941176469,20.0,4152031.0,ZPHS Kannapur,tg231,tg,2018-08-08 22:07:00,17.0,5.0,gr2-unit1-property-based-reasoning,1082568.0,black-dragonfly-tg231
2710,1.0,[],Yes,,1.0,[u'Geometric Reasoning Part II'],5.882352941176469,20.0,4152031.0,ZPHS Kannapur,tg231,tg,2018-08-08 22:07:00,17.0,5.0,gr2-unit1-property-based-reasoning,1082569.0,black-dragon-tg231
2711,1.0,[],Yes,,1.0,[u'Geometric Reasoning Part II'],5.882352941176469,20.0,4152031.0,ZPHS Kannapur,tg231,tg,2018-08-08 22:07:00,17.0,5.0,gr2-unit1-property-based-reasoning,1082569.0,black-dragon-tg231
2712,2.0,[],Yes,,1.0,[u'Geometric Reasoning Part II'],11.764705882352938,20.0,4152031.0,ZPHS Kannapur,tg231,tg,2018-08-08 22:07:00,17.0,5.0,gr2-unit1-property-based-reasoning,1082571.0,black-eagle-tg231
2713,2.0,[],Yes,,1.0,[u'Geometric Reasoning Part II'],11.764705882352938,20.0,4152031.0,ZPHS Kannapur,tg231,tg,2018-08-08 22:07:00,17.0,5.0,gr2-unit1-property-based-reasoning,1082571.0,black-eagle-tg231
2714,1.0,[],Yes,,0.0,[u'Geometric Reasoning Part II'],5.882352941176469,0.0,4152031.0,ZPHS Kannapur,tg231,tg,2018-12-01 14:14:00,17.0,5.0,gr2-unit1-property-based-reasoning,1082627.0,blue-bear-tg231
2715,1.0,[],Yes,,0.0,[u'Geometric Reasoning Part II'],5.882352941176469,0.0,4152031.0,ZPHS Kannapur,tg231,tg,2018-12-01 14:14:00,17.0,5.0,gr2-unit1-property-based-reasoning,1082627.0,blue-bear-tg231
2716,8.0,[],Yes,Grade 8,0.0,[u'Geometric Reasoning Part II'],47.058823529411754,0.0,4152031.0,ZPHS Kannapur,tg231,tg,2019-01-29 12:16:00,17.0,5.0,gr2-unit1-property-based-reasoning,1082637.0,blue-deer-tg231
2717,0.0,[],Yes,Choose Class / Grade,0.0,[u'Geometric Reasoning Part II'],0.0,0.0,4152031.0,ZPHS Kannapur,tg231,tg,2019-02-11 16:17:00,17.0,5.0,gr2-unit1-property-based-reasoning,1082638.0,blue-dog-tg231
2718,2.0,[1082654],Yes,Grade 8,1.0,[u'Geometric Reasoning Part II'],11.764705882352938,20.0,4152031.0,ZPHS Kannapur,tg231,tg,2018-11-02 14:12:00,17.0,5.0,gr2-unit1-property-based-reasoning,1082639.0,blue-dolphin-tg231
2719,2.0,[1082654],Yes,Grade 8,1.0,[u'Geometric Reasoning Part II'],11.764705882352938,20.0,4152031.0,ZPHS Kannapur,tg231,tg,2018-11-02 14:12:00,17.0,5.0,gr2-unit1-property-based-reasoning,1082639.0,blue-dolphin-tg231
2720,17.0,[],Yes,Grade 8,5.0,[u'Geometric Reasoning Part II'],100.0,100.0,4152031.0,ZPHS Kannapur,tg231,tg,2018-11-03 15:12:00,17.0,5.0,gr2-unit1-property-based-reasoning,1082639.0,blue-dolphin-tg231
2721,17.0,[],Yes,Grade 8,5.0,[u'Geometric Reasoning Part II'],100.0,100.0,4152031.0,ZPHS Kannapur,tg231,tg,2018-11-03 15:12:00,17.0,5.0,gr2-unit1-property-based-reasoning,1082639.0,blue-dolphin-tg231
2722,1.0,[],Yes,Grade 8,1.0,[u'Geometric Reasoning Part II'],5.882352941176469,20.0,4152031.0,ZPHS Kannapur,tg231,tg,2018-11-26 15:15:00,17.0,5.0,gr2-unit1-property-based-reasoning,1082640.0,blue-dragonfly-tg231
2723,1.0,[],Yes,Grade 8,1.0,[u'Geometric Reasoning Part II'],5.882352941176469,20.0,4152031.0,ZPHS Kannapur,tg231,tg,2018-11-26 15:15:00,17.0,5.0,gr2-unit1-property-based-reasoning,1082640.0,blue-dragonfly-tg231
2724,10.0,[],Yes,Grade 8,3.0,[u'Geometric Reasoning Part II'],58.82352941176471,60.0,4152031.0,ZPHS Kannapur,tg231,tg,2018-11-30 15:14:00,17.0,5.0,gr2-unit1-property-based-reasoning,1082640.0,blue-dragonfly-tg231
2725,10.0,[],Yes,Grade 8,3.0,[u'Geometric Reasoning Part II'],58.82352941176471,60.0,4152031.0,ZPHS Kannapur,tg231,tg,2018-11-30 15:14:00,17.0,5.0,gr2-unit1-property-based-reasoning,1082640.0,blue-dragonfly-tg231
2726,6.0,[],Yes,Grade 8,3.0,[u'Geometric Reasoning Part II'],35.29411764705883,60.0,4152031.0,ZPHS Kannapur,tg231,tg,2018-11-03 15:12:00,17.0,5.0,gr2-unit1-property-based-reasoning,1082641.0,blue-dragon-tg231
2727,6.0,[],Yes,Grade 8,3.0,[u'Geometric Reasoning Part II'],35.29411764705883,60.0,4152031.0,ZPHS Kannapur,tg231,tg,2018-11-03 15:12:00,17.0,5.0,gr2-unit1-property-based-reasoning,1082641.0,blue-dragon-tg231
2728,16.0,[1082637],Yes,Grade 8,4.0,[u'Geometric Reasoning Part II'],94.11764705882351,80.0,4152031.0,ZPHS Kannapur,tg231,tg,2019-01-29 12:16:00,17.0,5.0,gr2-unit1-property-based-reasoning,1082641.0,blue-dragon-tg231
2729,7.0,[1082654],Yes,Grade 8,3.0,[u'Geometric Reasoning Part II'],41.17647058823529,60.0,4152031.0,ZPHS Kannapur,tg231,tg,2019-01-29 12:16:00,17.0,5.0,gr2-unit1-property-based-reasoning,1082642.0,blue-duck-tg231
2730,12.0,[],Yes,Grade 8,4.0,[u'Geometric Reasoning Part II'],70.58823529411767,80.0,4152031.0,ZPHS Kannapur,tg231,tg,2019-01-29 14:15:00,17.0,5.0,gr2-unit1-property-based-reasoning,1082642.0,blue-duck-tg231
2731,2.0,[],Yes,Grade 8,1.0,[u'Geometric Reasoning Part II'],11.764705882352938,20.0,4152031.0,ZPHS Kannapur,tg231,tg,2018-11-03 15:12:00,17.0,5.0,gr2-unit1-property-based-reasoning,1082646.0,blue-fox-tg231
2732,2.0,[],Yes,Grade 8,1.0,[u'Geometric Reasoning Part II'],11.764705882352938,20.0,4152031.0,ZPHS Kannapur,tg231,tg,2018-11-03 15:12:00,17.0,5.0,gr2-unit1-property-based-reasoning,1082646.0,blue-fox-tg231
2733,5.0,[],Yes,Grade 8,2.0,[u'Geometric Reasoning Part II'],29.411764705882355,40.0,4152031.0,ZPHS Kannapur,tg231,tg,2018-11-08 15:12:00,17.0,5.0,gr2-unit1-property-based-reasoning,1082646.0,blue-fox-tg231
2734,5.0,[],Yes,Grade 8,2.0,[u'Geometric Reasoning Part II'],29.411764705882355,40.0,4152031.0,ZPHS Kannapur,tg231,tg,2018-11-08 15:12:00,17.0,5.0,gr2-unit1-property-based-reasoning,1082646.0,blue-fox-tg231
2735,6.0,[],Yes,Grade 8,3.0,[u'Geometric Reasoning Part II'],35.29411764705883,60.0,4152031.0,ZPHS Kannapur,tg231,tg,2018-11-30 15:14:00,17.0,5.0,gr2-unit1-property-based-reasoning,1082646.0,blue-fox-tg231
2736,6.0,[],Yes,Grade 8,3.0,[u'Geometric Reasoning Part II'],35.29411764705883,60.0,4152031.0,ZPHS Kannapur,tg231,tg,2018-11-30 15:14:00,17.0,5.0,gr2-unit1-property-based-reasoning,1082646.0,blue-fox-tg231
2737,8.0,[],Yes,Grade 8,4.0,[u'Geometric Reasoning Part II'],47.058823529411754,80.0,4152031.0,ZPHS Kannapur,tg231,tg,2019-02-06 16:17:00,17.0,5.0,gr2-unit1-property-based-reasoning,1082646.0,blue-fox-tg231
2738,9.0,[],Yes,Grade 8,4.0,[u'Geometric Reasoning Part II'],52.941176470588246,80.0,4152031.0,ZPHS Kannapur,tg231,tg,2019-02-14 16:17:00,17.0,5.0,gr2-unit1-property-based-reasoning,1082646.0,blue-fox-tg231
2739,1.0,[],No,,1.0,[u'Geometric Reasoning Part II'],5.882352941176469,20.0,4152031.0,ZPHS Kannapur,tg231,tg,2018-11-03 15:12:00,17.0,5.0,gr2-unit1-property-based-reasoning,1082647.0,blue-frog-tg231
2740,1.0,[],No,,1.0,[u'Geometric Reasoning Part II'],5.882352941176469,20.0,4152031.0,ZPHS Kannapur,tg231,tg,2018-11-03 15:12:00,17.0,5.0,gr2-unit1-property-based-reasoning,1082647.0,blue-frog-tg231
2741,2.0,[],Yes,,1.0,[u'Geometric Reasoning Part II'],11.764705882352938,20.0,4152031.0,ZPHS Kannapur,tg231,tg,2018-11-03 16:11:00,17.0,5.0,gr2-unit1-property-based-reasoning,1082647.0,blue-frog-tg231
2742,2.0,[],Yes,,1.0,[u'Geometric Reasoning Part II'],11.764705882352938,20.0,4152031.0,ZPHS Kannapur,tg231,tg,2018-11-03 16:11:00,17.0,5.0,gr2-unit1-property-based-reasoning,1082647.0,blue-frog-tg231
2743,9.0,[],Yes,Grade 8,4.0,[u'Geometric Reasoning Part II'],52.941176470588246,80.0,4152031.0,ZPHS Kannapur,tg231,tg,2018-11-05 15:13:00,17.0,5.0,gr2-unit1-property-based-reasoning,1082647.0,blue-frog-tg231
2744,9.0,[],Yes,Grade 8,4.0,[u'Geometric Reasoning Part II'],52.941176470588246,80.0,4152031.0,ZPHS Kannapur,tg231,tg,2018-11-05 15:13:00,17.0,5.0,gr2-unit1-property-based-reasoning,1082647.0,blue-frog-tg231
2745,10.0,[],Yes,Grade 9,4.0,[u'Geometric Reasoning Part II'],58.82352941176471,80.0,4152031.0,ZPHS Kannapur,tg231,tg,2019-01-29 12:16:00,17.0,5.0,gr2-unit1-property-based-reasoning,1082647.0,blue-frog-tg231
2746,0.0,[1082646],No,Grade 8,0.0,[u'Geometric Reasoning Part II'],0.0,0.0,4152031.0,ZPHS Kannapur,tg231,tg,2018-11-02 14:12:00,17.0,5.0,gr2-unit1-property-based-reasoning,1082649.0,blue-goat-tg231
2747,0.0,[1082646],No,Grade 8,0.0,[u'Geometric Reasoning Part II'],0.0,0.0,4152031.0,ZPHS Kannapur,tg231,tg,2018-11-02 14:12:00,17.0,5.0,gr2-unit1-property-based-reasoning,1082649.0,blue-goat-tg231
2748,2.0,[1082646],Yes,Grade 8,1.0,[u'Geometric Reasoning Part II'],11.764705882352938,20.0,4152031.0,ZPHS Kannapur,tg231,tg,2018-11-03 15:12:00,17.0,5.0,gr2-unit1-property-based-reasoning,1082649.0,blue-goat-tg231
2749,2.0,[1082646],Yes,Grade 8,1.0,[u'Geometric Reasoning Part II'],11.764705882352938,20.0,4152031.0,ZPHS Kannapur,tg231,tg,2018-11-03 15:12:00,17.0,5.0,gr2-unit1-property-based-reasoning,1082649.0,blue-goat-tg231
2750,5.0,[],Yes,Grade 8,2.0,[u'Geometric Reasoning Part II'],29.411764705882355,40.0,4152031.0,ZPHS Kannapur,tg231,tg,2018-11-08 15:12:00,17.0,5.0,gr2-unit1-property-based-reasoning,1082649.0,blue-goat-tg231
2751,5.0,[],Yes,Grade 8,2.0,[u'Geometric Reasoning Part II'],29.411764705882355,40.0,4152031.0,ZPHS Kannapur,tg231,tg,2018-11-08 15:12:00,17.0,5.0,gr2-unit1-property-based-reasoning,1082649.0,blue-goat-tg231
2752,6.0,[],Yes,Grade 8,3.0,[u'Geometric Reasoning Part II'],35.29411764705883,60.0,4152031.0,ZPHS Kannapur,tg231,tg,2018-11-30 15:14:00,17.0,5.0,gr2-unit1-property-based-reasoning,1082649.0,blue-goat-tg231
2753,6.0,[],Yes,Grade 8,3.0,[u'Geometric Reasoning Part II'],35.29411764705883,60.0,4152031.0,ZPHS Kannapur,tg231,tg,2018-11-30 15:14:00,17.0,5.0,gr2-unit1-property-based-reasoning,1082649.0,blue-goat-tg231
