server_id,school_name,school_code,module_name,unit_name,username,user_id,grade,enrollment_status,buddy_userids,total_lessons,lessons_visited,percentage_lessons_visited,total_activities,activities_visited,percentage_activities_visited,timestamp,state_code,school_server_code,days_server_wo_activity,tools_only_activity,module_only_activity,tool_with_module_activity,total_days_server_on
ct24,Govt.High School Rampur,1011024.0,[u'Geometric Reasoning Part I'],gr1-unit2-analysing-describing-shapes,gray-lobster-ct24,550456,,Yes,"[550436, 550452]",3,0,0.0,8,1,12.5,2018-08-24 21:08:00,ct,1011024-ct24,3,1,7,9,20
ct24,Govt.High School Rampur,1011024.0,[u'Geometric Reasoning Part I'],gr1-unit2-analysing-describing-shapes,gray-monkey-ct24,550458,,Yes,[550453],3,0,0.0,8,1,12.5,2018-08-07 21:08:00,ct,1011024-ct24,3,1,7,9,20
ct24,Govt.High School Rampur,1011024.0,[u'Geometric Reasoning Part I'],gr1-unit2-analysing-describing-shapes,gray-monkey-ct24,550458,,Yes,[],3,0,0.0,8,2,25.0,2018-08-23 21:08:00,ct,1011024-ct24,3,1,7,9,20
ct24,Govt.High School Rampur,1011024.0,[u'Geometric Reasoning Part I'],gr1-unit2-analysing-describing-shapes,gray-mouse-ct24,550459,,Yes,[550439],3,0,0.0,8,1,12.5,2018-08-07 21:08:00,ct,1011024-ct24,3,1,7,9,20
ct24,Govt.High School Rampur,1011024.0,[u'Geometric Reasoning Part I'],gr1-unit2-analysing-describing-shapes,gray-mouse-ct24,550459,,Yes,[],3,0,0.0,8,2,25.0,2018-08-24 21:08:00,ct,1011024-ct24,3,1,7,9,20
ct24,Govt.High School Rampur,1011024.0,[u'Geometric Reasoning Part I'],gr1-unit2-analysing-describing-shapes,gray-zebra-ct24,550488,,Yes,[],3,0,0.0,8,1,12.5,2018-08-07 21:08:00,ct,1011024-ct24,3,1,7,9,20
ct24,Govt.High School Rampur,1011024.0,[u'Geometric Reasoning Part I'],gr1-unit2-analysing-describing-shapes,brown-ostrich-sp100,1260189,,No,[],3,0,0.0,8,1,12.5,2018-07-11 18:33:00,ct,1011024-ct24,3,1,7,9,20
ct24,Govt.High School Rampur,1011024.0,[u'Geometric Reasoning Part I'],gr1-unit2-analysing-describing-shapes,brown-peacock-sp100,1260193,Grade 8,No,[],3,0,0.0,8,1,12.5,2018-07-11 18:33:00,ct,1011024-ct24,3,1,7,9,20
ct24,Govt.High School Rampur,1011024.0,[u'Geometric Reasoning Part II'],gr2-unit2-understanding-need-for-proof,brown-python-ct24,550396,,No,"[550405, 550411]",8,0,0.0,36,0,0.0,2018-08-03 21:09:00,ct,1011024-ct24,3,1,7,9,20
ct24,Govt.High School Rampur,1011024.0,[u'Geometric Reasoning Part II'],gr2-unit2-understanding-need-for-proof,brown-scorpion-ct24,550400,,No,"[550397, 550412]",8,0,0.0,36,0,0.0,2018-08-20 21:09:00,ct,1011024-ct24,3,1,7,9,20
ct24,Govt.High School Rampur,1011024.0,[u'Geometric Reasoning Part II'],gr2-unit2-understanding-need-for-proof,brown-sheep-ct24,550404,,No,"[550416, 550418]",8,0,0.0,36,0,0.0,2018-07-25 21:08:00,ct,1011024-ct24,3,1,7,9,20
ct24,Govt.High School Rampur,1011024.0,[u'Geometric Reasoning Part II'],gr2-unit2-understanding-need-for-proof,gray-llama-ct24,550455,,No,"[550444, 550445]",8,0,0.0,36,0,0.0,2018-08-28 18:09:00,ct,1011024-ct24,3,1,7,9,20
ct24,Govt.High School Rampur,1011024.0,[u'Sound'],sound,black-apple-sp100,1260002,Grade 9,No,[],10,1,10.0,56,2,3.571428571428571,2018-07-11 18:35:00,ct,1011024-ct24,3,1,7,9,20
ct24,Govt.High School Rampur,1011024.0,[u'Understanding Motion'],um-physics-motion,blue-copper-sp100,1259953,Grade 8,No,[],12,0,0.0,69,0,0.0,2018-07-11 18:31:00,ct,1011024-ct24,3,1,7,9,20
ct24,Govt.High School Rampur,1011024.0,[u'Understanding Motion'],um-physics-motion,black-apple-sp100,1260002,Grade 9,No,[],12,0,0.0,69,0,0.0,2018-07-11 18:31:00,ct,1011024-ct24,3,1,7,9,20
ct24,Govt.High School Rampur,1011024.0,[u'Understanding Motion'],um-physics-motion,brown-ostrich-sp100,1260189,,No,[],12,0,0.0,69,2,2.898550724637681,2018-07-11 18:31:00,ct,1011024-ct24,3,1,7,9,20
