school_server_code,tool_name,created_at,user_id,domain,time_hh,time_mm,time_ss,date_created,time_spent
1011001-ct1,Food_sharing_tool,2018-07-17 23:26:34,0,m,23,26,34,20180717,560.0
1011001-ct1,Food_sharing_tool,2018-07-15 15:45:47,0,m,15,45,47,20180715,286.0
1011001-ct1,Food_sharing_tool,2018-07-17 23:26:37,0,m,23,26,37,20180717,560.0
1011001-ct1,Food_sharing_tool,2018-07-17 23:27:04,0,m,23,27,04,20180717,560.0
1011001-ct1,Food_sharing_tool,2018-07-17 23:27:08,0,m,23,27,08,20180717,560.0
1011001-ct1,Food_sharing_tool,2018-07-17 23:24:23,0,m,23,24,23,20180717,560.0
1011001-ct1,Food_sharing_tool,2018-07-17 17:49:39,0,m,17,49,39,20180717,560.0
1011001-ct1,Food_sharing_tool,2018-07-17 23:24:35,0,m,23,24,35,20180717,560.0
1011001-ct1,Food_sharing_tool,2018-07-17 17:49:49,0,m,17,49,49,20180717,560.0
1011001-ct1,Food_sharing_tool,2018-07-17 23:28:42,0,m,23,28,42,20180717,560.0
1011001-ct1,Food_sharing_tool,2018-07-17 23:28:43,0,m,23,28,43,20180717,560.0
1011001-ct1,Food_sharing_tool,2018-07-17 23:28:45,0,m,23,28,45,20180717,560.0
1011001-ct1,Food_sharing_tool,2018-07-17 23:25:51,0,m,23,25,51,20180717,560.0
1011001-ct1,Food_sharing_tool,2018-07-17 17:51:01,0,m,17,51,01,20180717,560.0
1011001-ct1,Food_sharing_tool,2018-07-17 23:30:06,0,m,23,30,06,20180717,560.0
1011001-ct1,Food_sharing_tool,2018-07-17 17:51:38,0,m,17,51,38,20180717,560.0
1011001-ct1,Food_sharing_tool,2018-07-15 15:48:45,0,m,15,48,45,20180715,286.0
1011001-ct1,Food_sharing_tool,2018-07-15 15:48:55,0,m,15,48,55,20180715,286.0
1011001-ct1,Food_sharing_tool,2018-07-17 17:51:57,0,m,17,51,57,20180717,560.0
1011001-ct1,Food_sharing_tool,2018-07-15 15:49:06,0,m,15,49,06,20180715,286.0
1011001-ct1,Food_sharing_tool,2018-07-15 15:49:15,0,m,15,49,15,20180715,286.0
1011001-ct1,Food_sharing_tool,2018-07-15 15:49:25,0,m,15,49,25,20180715,286.0
1011001-ct1,Food_sharing_tool,2018-07-17 23:27:17,0,m,23,27,17,20180717,560.0
1011001-ct1,Food_sharing_tool,2018-07-15 15:49:27,0,m,15,49,27,20180715,286.0
